Mature_Name	Sample_9	Sample_11	Sample_12	Sample_7	Sample_15	Sample_3	Sample_1	Sample_10	Sample_14	Sample_6	Sample_13	Sample_4	Sample_5	Sample_8	Sample_2
miR-15a-5p	6531.67	5184.3	5717.78	7028.43	3756.44	3758.02	1201.62	2035.55	1516.23	1650.34	1144.41	1549.46	2230.56	3558.27	1800.55
miR-15b-5p	1498.34	1923.8	1698.15	2493.62	1707.47	1409.26	1071.51	1048.86	922.64	980.11	493.54	874.41	1964.02	1313.06	1621.45
miR-16-5p	822.89	1845.17	1809.34	1367.81	2475.83	1575.95	1280.07	707.82	774.25	1416.12	838.37	634.28	2537.63	528.28	1276.58
miR-181a-5p	31146.29	28912.03	32739.94	1536.15	1561.12	1515.33	4532.87	3866.83	5071.32	5039.29	7480.68	6852.53	4349.35	5583.36	4765.27
miR-181b-5p	5225.34	3090.14	3460.32	199.91	109.77	272.76	135.85	285.08	148.4	342.32	282.33	283.16	87.21	258.4	78.12
miR-181c-5p	1011.47	1085.09	1408.39	147.3	121.96	106.07	57.4	158.08	145.17	192.78	140.09	165.37	103.18	126.33	89.55
miR-182-5p	72	49.8	33.69	178.87	121.96	257.61	34.44	12.43	54.84	23.42	38.79	15.86	15.97	42.11	26.67
miR-1825	72	28.83	53.91	242	207.34	196.99	63.14	13.32	61.29	28.83	62.5	38.51	18.42	61.25	45.73
miR-1827	222.87	91.73	121.3	578.69	609.81	757.67	107.15	35.52	138.72	102.7	103.45	92.88	57.73	91.88	74.31
miR-183-5p	99.43	60.28	117.93	242	109.77	272.76	34.44	49.73	67.75	37.84	58.19	49.84	24.57	66.99	55.26
miR-184	48	34.07	33.69	126.26	73.18	151.53	19.13	8.88	25.81	23.42	25.86	20.39	14.74	17.23	24.77
miR-185-5p	284.58	403.63	532.36	378.78	365.89	303.07	65.06	131.44	77.42	102.7	81.9	86.08	98.26	112.93	106.7
miR-186-5p	72	65.52	117.93	84.17	134.16	196.99	51.66	31.08	41.94	32.43	51.72	29.45	65.1	28.71	55.26
miR-187-3p	58.29	76.01	94.34	147.3	146.35	242.45	13.39	15.99	64.52	19.82	38.79	20.39	13.51	30.63	34.3
